"EID","DOI","Year","DocumentType","CitedBy","SourceTitle","Queries","QueryCount","Themes","Score","Title","Abstract","AbstractFound"
"2-s2.0-105031894331","10.1109/ICCUBEA65967.2025.11284229","2025","Conference paper","0","2025 9th International Conference on Computing, Communication, Control and Automation, ICCCBEA 2025","S1,S2,S4","3","Uncertainty, Unity/VR, Benchmark/Validation","23","Defense-Focused Autonomous Unmanned Aerial Vehicle System Using Ensemble Model of ResNetV8 and ResDQN","Navigation of Unmanned Aerial Vehicles (UAVs) is fraught with difficulties due to dynamic obstacles, narrow passages, and the presence or absence of GPS signals. To traverse such environments, one needs adaptable and intelligent control architecture that can make real-time decisions with some uncertainty involved. This paper proposes an all-encompassing AI control system that integrates ideas from Deep Learning and Deep Reinforcement Learning for autonomous navigation of UAVs. Key improvements include external 3D maps and customized drone assets integrated into the AirSim simulator thereby creating a very realistic testing environment. We included an enemy tracking module which allows visual prediction, enabling the drone to detect, track, and evade dynamic threats. Also, a voice command interface allows human operators to take real-time control, thus enhancing interoperability and flexibility in missions. The navigation strategy comprises a dual hybrid ensemble model that integrates ResNet8-based a path planning algorithm and DQN-based an obstacle avoidance algorithm. Furthermore, ResNet8 and CNN are integrated for preliminary object detection tasks, whereby CNN assigns a confidence score to the object detection, and if this confidence is high, then a request is made to ResDQN, without reconfirmation by ResNet8. Such integrated approaches have assured stable flight performance in complex environments while ensuring efficiency as well as high performance. Experimental results have illustrated the robustness and applicability of our system for navigating through tightly cluttered indoor environments containing static and dynamic hazards. This work, therefore, pushes intelligent UAV applications in time-sensitive missions such as search-and-rescue, surveillance, and reconnaissance. ? 2025 IEEE.","Yes"
"2-s2.0-85163496886","10.1109/TRO.2023.3279903","2023","Article","33","IEEE Transactions on Robotics","S4","1","Uncertainty, Unity/VR, Benchmark/Validation","22","DLSC: Distributed Multi-Agent Trajectory Planning in Maze-Like Dynamic Environments Using Linear Safe Corridor","This article presents an online distributed trajectory planning algorithm for a quadrotor swarm in a maze-like dynamic environment. We utilize a dynamic linear safe corridor to construct the feasible collision constraints that can ensure interagent collision avoidance and consider the uncertainty of moving obstacles. We introduce mode-based subgoal planning to resolve deadlock faster in a complex environment using only previously shared information. For dynamic obstacle avoidance, we adopt heuristic methods such as collision alert propagation and escape point planning to deal with the situation where dynamic obstacles approach the agents clustered in a narrow corridor. We prove that the proposed algorithm guarantees the feasibility of the optimization problem for every replanning step. In an obstacle-free space, the proposed method can compute the trajectories for 60 agents on average 7.66 ms per agent with an Intel i7 laptop and shows the perfect success rate. Also, our method shows 64.5% shorter flight time than buffered Voronoi cell and 34.6% shorter than with our previous work. We conduct the simulation in a random forest and maze with four dynamic obstacles, and the proposed algorithm shows the highest success rate and shortest flight time compared to state-of-the-art baseline algorithms. In particular, the proposed algorithm shows over 97% success rate when the velocity of moving obstacles is below the agent's maximum speed. We validate the safety and robustness of the proposed algorithm through a hardware demonstration with ten quadrotors and two pedestrians in a maze-like environment. ? 2004-2012 IEEE.","Yes"
"2-s2.0-85184137328","10.1061/JAEEEZ.ASENG-5286","2024","Article","11","Journal of Aerospace Engineering","S4","1","Uncertainty, Unity/VR, Benchmark/Validation","22","Trajectory Tracking Control for Fixed-Wing UAV Based on DDPG","The study proposes a method for the trajectory tracking control of a fixed-wing unmanned aerial vehicle (UAV) based on the deep deterministic policy gradient (DDPG). First, the problem of controlling the trajectory of a fixed-wing UAV is combined with the reinforcement learning framework and transformed into a Markov decision process, and a DDPG agent is established in the framework of TensorFlow. Second, we conducted simulations to train and optimize the model in a 3D environment of trajectory tracking control and obtained an integrated DDPG-based trajectory tracking controller that can regulate functions ranging from the state of flight of the UAV to rudder control. Third, we constructed a digital simulation system to verify the proposed method while considering the influence of parametric uncertainties, measurement-induced noise, and delays in the response of the control system. The effectiveness and robustness of the proposed DDPG controller were verified by comparing its performance with that of traditional proportional-integral-derivative (PID) control. ? 2024 American Society of Civil Engineers.","Yes"
"2-s2.0-105019946013","10.1109/TMC.2025.3623636","2026","Article","4","IEEE Transactions on Mobile Computing","S1,S4","2","Uncertainty, Unity/VR, Benchmark/Validation","22","Digital Twin-Assisted Space-Air-Ground Integrated Multi-Access Edge Computing for Low-Altitude Economy: An Online Decentralized Optimization Approach","The emergence of space-air-ground integrated multiaccess edge computing (SAGIMEC) networks opens a significant opportunity for the rapidly growing low altitude economy (LAE), facilitating the development of various applications by offering efficient communication and computing services. However, the heterogeneous nature of SAGIMEC networks, coupled with the stringent computational and communication requirements of diverse applications in the LAE, introduces considerable challenges in integrating SAGIMEC into the LAE. In this work, we first present a digital twin-assisted SAGIMEC paradigm for LAE, where digital twin enables reliable network monitoring and management, while SAGIMEC provides efficient computing offloading services for Internet of Things sensor devices (ISDs). Then, a joint satellite selection, computation offloading, communication resource allocation,computation resource allocation and uncrewed aerial vehicle (UAV) trajectory control optimization problem (JSC4OP) is formulated to maximize the quality of service (QoS) of ISDs. Given the complexity of JSC4OP, we propose an online decentralized optimization approach (ODOA) to address the problem. Specifically, JSC4OP is first transformed into a real-time decision-making optimization problem (RDOP) by leveraging Lyapunov optimization. Then, to solve the RDOP, we introduce an online learning-based latency prediction method to predict the uncertain system environment and a game theoretic decision-making method to make real-time decisions. Finally, theoretical analysis confirms the effectiveness of the ODOA. Simulation results show that the proposed ODOA outperforms various benchmark approaches and improves the QoS of ISDs by at least 14.5% compared to deep reinforcement learning (DRL)-based approaches, thereby validating the superiority of the proposed approach. ? 2002-2012 IEEE.","Yes"
"2-s2.0-105023955420","10.1155/mse/8830284","2025","Article","0","Modelling and Simulation in Engineering","S1,S4","2","Maneuver, Uncertainty, Benchmark/Validation","22","Adaptive Neural-Augmented High-Order Sliding Mode Control for Integrated UAV Guidance in Uncertain Environments","This study proposes a novel integrated guidance and control (IGC) framework for unmanned aerial vehicles (UAVs) operating in uncertain and time-varying environments. The core of the framework is an Adaptive Continuous High-Order Sliding Mode Controller (ACHOSMC) augmented with a fully online neural network (NN) that adaptively tunes control gains in real time based solely on instantaneous tracking errors eliminating the need for any offline training or prior model knowledge. Unlike conventional sliding mode schemes, the continuous high-order formulation significantly suppresses chattering while ensuring finite-time convergence, even under severe disturbances and modeling uncertainties. The nonlinear UAV dynamic model, decomposed into independently modeled pitch, yaw, and roll channels with structured interchannel uncertainties, provides a rigorous benchmark for evaluation. Computational feasibility is experimentally validated on an STM32-class embedded processor, demonstrating a total adaptation-and-control cycle time of 0.6 ms, enabling update rates well above 100 Hz for agile maneuvering. Comprehensive simulations compare the proposed ACHOSMC?NN with PID, SMC, and CHOSMC controllers in demanding trajectory-tracking scenarios. Results show consistent improvements in tracking precision, convergence speed, robustness to disturbances, and smoothness of control signals. These contributions position the proposed method as a computationally efficient, chattering-free, and adaptively self-tuning IGC solution for UAV missions such as autonomous logistics, precision agriculture, infrastructure monitoring, and high-maneuverability inspection tasks. Copyright ? 2025 Mohamad Mahdi Soori and Seyed Hossein Sadati. Modelling and Simulation in Engineering published by John Wiley & Sons Ltd.","Yes"
"2-s2.0-85199037649","10.2514/6.2023-1482","2023","Conference paper","0","AIAA SciTech Forum and Exposition, 2023","S1,S4","2","Maneuver, Uncertainty, Benchmark/Validation","22","Online Parameter Estimation Within Trajectory Optimization for Dynamic Soaring","We propose a novel control architecture incorporating online parameter estimation along side MPC with application to dynamic soaring. Dynamic soaring is a process that has prompted recent research which allows a UAV to extract energy from wind gradients to stay aloft, there by minimizing the need for propulsive action during flight. However, to properly execute dynamic soaring maneuvers sufficient information about the wind gradient and aerodynamic properties of the UAV is required. Much of the research on dynamic soaring has focused on offlinetra jectory optimization. Either no estimation of parameters is incorporated, or estimation serves to inform decisions based on an existing library of trajectories or neural networks trained on offline-generated data points. Other work has been done on online trajectory planning in the form of Model Predictive Control (MPC), but estimation is rarely incorporated. Our propose dal gorithm combines parameter estimation with online trajectory optimization to create a risk aware framework which is able to select control inputs to minimize the impact of uncertainty and learn the true values of environmental and aerodynamic parameters. We also show that our Sequential Monte Carlo-based online parameter estimation method performs similarly under identical conditions to Markov Chain Monte Carlo. We also establish deterministic MPC as a baseline and show that our algorithm performs similarly to deterministic MPC with known parameters. In a comparison of deterministic MPC with known parameters, deterministic MPC with unknown parameters, and our algorithm, we show the positive impact of learning on the ability of MPC to maintain energy levels throughout the soaring process. Finally, after arobustness analysis, we report good performance of the algorithm under a variety of conditions both generally and in comparison to deterministic MPC. ? 2023, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","Yes"
"2-s2.0-85180411780","10.7527/S1000-6893.2023.28827","2023","Article","5","Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica","S2","1","Uncertainty, Unity/VR, Benchmark/Validation","21","Guidance, navigation and control for airborne docking of autonomous aerial refueling; [? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?]","Autonomous aerial refueling technology can significantly improve the endurance and flight duration of unmanned aerial vehicles,and has great significance in both military and civilian applications. Due to factors such as aerodynamic interference of aircraft formation,model uncertainty,head wave effect,and gust disturbance,the docking segment of aerial unmanned refueling is the most precise and difficult stage to control,making navigation,guidance,and control technology the current research hotspots and challenges. In this paper,we study the robust anti-interference navigation,guidance,and control technology of the autonomous hose refueling docking segment in the unmanned-to-unmanned aerial refueling scenario,and conduct flight tests to confirm its effectiveness. First,to prevent oscillations during height control when the receiving aircraft is accelerating to dock,a longitudinal guidance law is designed using the total energy method to achieve coordinated control of the height and speed during the final docking stage. Second,to improve the docking control accuracy in gusty conditions,lateral guidance laws are designed based on the L1 nonlinear guidance,which considers the trajectory tracking characteristics of the tanker and receiver in different flight stages. Inner-loop attitude control laws are designed using robust servo methods,and integral terms are introduced into the angular velocity control loop to enhance system robustness and suppress the influence of external disturbances. Then,a drogue identification and positioning algorithm is developed based on the YOLOV4 single-stage deep learning object detection algorithm,which is trained and sampled under complex lighting and foggy conditions to improve the robustness of the visual system. The extended Kal-man filter algorithm is used to fuse image positioning information with RTK positioning information for relative navigation. Finally,a flight test plan for unmanned aerial refueling docking simulation is designed to maximize the success rate of docking while reducing safety risks. The flight test verifies the effectiveness of the anti-interference navigation,guidance,and control scheme proposed in this paper. ? 2023 AAAS Press of Chinese Society of Aeronautics and Astronautics. All rights reserved.","Yes"
"2-s2.0-105007242427","10.1109/LRA.2025.3575011","2025","Article","1","IEEE Robotics and Automation Letters","S1,S2,S3","3","Maneuver, Unity/VR, Benchmark/Validation","21","What Matters in Learning a Zero-Shot Sim-to-Real RL Policy for Quadrotor Control? A Comprehensive Study","Precise and agile flight maneuvers are essential for quadrotor applications, yet traditional control methods are limited by their reliance on flat trajectories or computationally intensive optimization. Reinforcement learning (RL)-based policies offer a promising alternative by directly mapping observations to actions, reducing dependency on system knowledge and actuation constraints. However, the sim-to-real gap remains a significant challenge, often causing instability in real-world deployments. In this work, we identify five key factors for learning robust RL-based control policies capable of zero-shot real-world deployment: (1) integrating velocity and rotation matrix into actor inputs, (2) incorporating time vector into critic inputs, (3) regularizing action differences for smoothness, (4) applying system identification with selective randomization, and (5) using large batch sizes during training. Based on these insights, we develop SimpleFlight, a PPO-based framework that integrates these techniques. Extensive experiments on the Crazyflie quadrotor demonstrate that SimpleFlight reduces trajectory tracking error by over 50% compared to state-of-the-art RL baselines. It excels in both smooth polynomial and challenging infeasible zigzag trajectories, particularly on small thrust-to-weight quadrotors, where baseline methods often fail. To enhance reproducibility and further research, we integrate SimpleFlight into the GPU-based Omnidrones simulator and provide open-source code and model checkpoints. ? 2016 IEEE.","Yes"
"2-s2.0-105018090517","10.2514/6.2025-3396","2025","Conference paper","0","AIAA Aviation Forum and ASCEND, 2025","S1","1","Maneuver, Uncertainty, Benchmark/Validation","21","Real-time Pose-aware Dynamic Path Planning","This work investigates efficient means of generating low-risk paths for unmanned aerial vehicles (UAVs) in the presence of radar sites. This problem is difficult to solve in real time due to the probabilistic nature of the radar detection model as well as the anisotropy of radar cross section of the vehicle. This couples the vehicle?s path and orientation into the objective and constraints, leading to challenging optimization problems. In this work, we propose a novel approach that is capable of generating risk-aware maneuvers in real time in these environments. The proposed approach consists of three modules: a global planner, a local planner, and an imitation learning module. The global planner aims to generate a goal-reaching path which is then refined by the local planner to reduce the risk. Then imitation learning technique is applied to reduce the inference time of the path generation process. Simulation experiments are performed to demonstrate both the efficiency (93.6% reduction in computation time on average) and the generalization capability of the proposed method. ? 2025 by the American Institute of Aeronautics and Astronautics, Inc. All rights reserved.","Yes"
"2-s2.0-85115197542","10.1016/j.ast.2021.107062","2021","Article","96","Aerospace Science and Technology","S1","1","Maneuver, Unity/VR, Benchmark/Validation","20","Adaptive neural network-based active disturbance rejection flight control of an unmanned helicopter","To enable the unmanned helicopter to fly autonomously in precise paths and reduce the influence of internal and external unknown disturbances of the unmanned helicopter, this paper proposes the adaptive radial basis function (RBF) neural network-based active disturbance rejection controller (ADRC). This controller is abbreviated as RBF-ADRC. Firstly, this paper introduces the flight dynamics model of the unmanned helicopter and the control features of the traditional ADRC. Subsequently, this paper uses modern control theory to establish a state observer and uses adaptive RBF neural network to estimate the unknown total disturbance. Finally, this paper constructs the unmanned helicopter's trajectory tracking control system based on the RBF-ADRC controller. The simulation results of the spiral ascent and the ?8?-figure climb maneuver flight prove that the anti-disturbance, robustness and tracking accuracy of the RBF-ADRC are better than the traditional ADRC and proportion-integration-differentiation (PID) control methods. ? 2021 Elsevier Masson SAS","Yes"
"2-s2.0-85112795751","10.1109/ICCWorkshops50388.2021.9473768","2021","Conference paper","6","2021 IEEE International Conference on Communications Workshops, ICC Workshops 2021 - Proceedings","S4","1","Maneuver, Uncertainty, Benchmark/Validation","20","A Reinforcement Learning Algorithm for Data Collection in UAV-aided IoT Networks with Uncertain Time Windows","Unmanned aerial vehicles (UAVs) have been considered as an efficient solution to collect data from ground sensor nodes in Internet-of-Things (IoT) networks due to their several advantages such as flexibility, quick deployment and maneuverability. Studies on this subject have been mainly focused on problems where limited UAV battery is introduced as a tight constraint that shortens the mission time in the models, which significantly undervalues the UAV potential. Moreover, the sensors in the network are typically assumed to have deterministic working times during which the data is uploaded. In this study, we revisit the UAV trajectory planning problem with a different approach and revise the battery constraint by allowing UAVs to swap their batteries at fixed stations and continue their data collection task, hence, the planning horizon can be extended. In particular, we develop a discrete time Markov process (DTMP) in which the UAV trajectory and battery swapping times are jointly determined to minimize the total data loss in the network, where the sensors have uncertain time windows for uploading. Due to the so-called curse-of-dimensionality, we propose a reinforcement learning (RL) algorithm in which the UAV is trained as an agent to explore the network. The computational study shows that our proposed algorithm outperforms two benchmark approaches and achieves significant reduction in data loss. ? 2021 IEEE.","Yes"
"2-s2.0-85151066293","10.1007/978-981-99-0479-2_85","2023","Conference paper","1","Lecture Notes in Electrical Engineering","S1,S2","2","Maneuver, Unity/VR, Benchmark/Validation","20","Ship Track Prediction Based on Sliding Window BLSTM Network","The trajectory prediction of maritime targets is an urgent problem to be solved in order to effectively manage and control the situation in the sea area. The UAV has the advantages of strong real-time performance, high resolution and relatively stable viewing angle. Trajectory prediction of targets at sea. In this paper, a method of ship track prediction based on sliding window based bidirectional long short-term memory network (Bi-LSTM) is proposed using ship track data. Considering the high feature dimension of ship position information, the LSTM network theory is used to construct a ship track prediction model based on the sliding window BLSTM network, and the spatiotemporal features of the ship are extracted, and the position, speed and heading output of the network are used to predict the ship track. The simulation results show that, compared with the prediction results of LSTM and RNN, the prediction accuracy and generalization ability of the sliding window BLSTM network are better in the direct flight, steering and maneuvering scenarios. ? 2023, Beijing HIWING Sci. and Tech. Info Inst.","Yes"
"2-s2.0-105015035791","","2024","Conference paper","0","15th Asia-Pacific International Symposium on Aerospace Technology, APISAT 2024","S1,S2","2","Maneuver, Unity/VR, Benchmark/Validation","20","Robust Deep Reinforcement Learning-based Quadcopter Controller: Sim2Real Approach and Experiments with External Disturbances","Quadcopters have been widely studied for decades due to their maneuverability and ability to operate in various circumstances. Maintaining the stability of quadcopters is extremely challenging due to the highly nonlinear dynamics of quadcopters, as well as constraints in actuation and the presence of sensor noise. Designing efficient controllers that correspond to certain platforms often requires the manual tuning of heuristic parameters, extensive understanding of the system, or long design times. Conventional strategies depend on accurate, complicated, and challenging-to-obtain models of the vehicle and the surrounding environment. Deep reinforcement learning (DRL) is a promising approach in the control of autonomous multirotor aerial vehicles, with recent advancements in deployment, performance enhancement, and generalization. In this paper, a deep reinforcement learning-based controller for quadcopters is proposed that is secure for real-world implementation, data-efficient, and free of human gain adjustments. First, a novel actor-critic-based architecture is designed to map the robot states directly to the motor outputs. Then, a simulator was created using quadcopter dynamics to facilitate the training of the controller policy in presence of the sensor noise and external disturbances. Finally, the trained control policy is deployed on a real Crazyflie 2.1 quadrotor platform without any fine-tuning to track a trajectory in real-world wind turbulences. According to the experimental results, the approach proved both robust to external disturbance along with effectiveness and feasibility for bridging the simulation-to-reality gap. ? 2024 15th Asia-Pacific International Symposium on Aerospace Technology, APISAT 2024. All rights reserved.","Yes"
"2-s2.0-85123302041","10.1109/JSAC.2022.3143230","2022","Article","87","IEEE Journal on Selected Areas in Communications","S1,S2,S4","3","Uncertainty, Benchmark/Validation","19","RIS-Aided Ground-Aerial NOMA Communications: A Distributionally Robust DRL Approach","A reconfigurable intelligent surface (RIS) aided air-to-ground uplink non-orthogonal transmission framework is investigated for next generation multiple access. Occupying the same spectrum resource, unmanned aerial vehicle (UAV) users and ground users (GUs) are connected to terrestrial cellular networks via the uplink non-orthogonal multiple access (NOMA) protocol. As the flight safety is important for employing UAVs in civil airspace, the collision avoidance mechanism has to be considered during the flight. Therefore, a joint optimization problem of the UAV trajectory design, RIS configuration, and uploading power control is formulated for maximizing the network sum rate, while ensuring the UAV's fight safety and satisfying the minimum data rate requirements of both the UAV and GU. The resultant problem is a sequential decision making one across multiple coherent time slots. Besides, the unknown locations of obstacles bring uncertainties into the decision making process. To tackle this challenging problem, a sample-efficient deep reinforcement learning (DRL) algorithm is proposed to optimize the UAV trajectory, RIS configuration, and power control simultaneously. Moreover, considering the ambiguous uncertainties in the environment, a distributionally robust DRL algorithm is further proposed to provide the worst-case performance guarantee. Numerical results demonstrate that the two proposed DRL algorithms outperform the conventional ones in terms of learning efficiency and robustness. It is also shown that the network sum rate is significantly improved by the proposed RIS-NOMA scheme compared to the conventional RIS-orthogonal multiple access (OMA) scheme and the case where no RIS is deployed.  ? 1983-2012 IEEE.","Yes"
"2-s2.0-85166777090","10.1109/JIOT.2023.3300718","2024","Article","77","IEEE Internet of Things Journal","S1,S2,S4","3","Uncertainty, Benchmark/Validation","19","Robust Computation Offloading and Trajectory Optimization for Multi-UAV-Assisted MEC: A Multiagent DRL Approach","For multiple unmanned-aerial-vehicles (UAVs)-assisted mobile-edge computing (MEC) networks, we study the problem of combined computation and communication for user equipments deployed with multitype tasks. Specifically, we consider that the MEC network encompasses both communication and computation uncertainties, where the partial channel state information and the inaccurate estimation of task complexity are only available. We introduce a robust design accounting for these uncertainties and minimize the total weighted energy consumption by jointly optimizing UAV trajectory, task partition, as well as the computation and communication resource allocation in the multi-UAV scenario. The formulated problem is challenging to solve with the coupled optimization variables and the high uncertainties. To overcome this issue, we reformulate a multiagent Markov decision process and propose a multiagent proximal policy optimization with Beta distribution framework to achieve a flexible learning policy. Numerical results demonstrate the effectiveness and robustness of the proposed algorithm for the multi-UAV-assisted MEC network, which outperforms the representative benchmarks of the deep reinforcement learning and heuristic algorithms.  ? 2014 IEEE.","Yes"
"2-s2.0-85149393706","10.1109/TASE.2023.3243660","2024","Article","27","IEEE Transactions on Automation Science and Engineering","S1,S4","2","Uncertainty, Unity/VR","19","Adaptive Intelligent Minimum Parameter Singularity Free Sliding Mode Controller Design for Quadrotor","This paper presents a singularity free fast terminal sliding mode control (SFFTSMC) for position and attitude tracking of a quadrotor with unknown dynamics. The contribution of this work is threefold, namely: devising an SFFTSMC strategy using an auxiliary function to eliminate the singularity in the control law, a cost-saving minimum parameter update scheme using a fully connected recurrent neural network (FCRNN) to handle the unknown dynamics of quadrotor and development of an adaptive control law to compensate for the loss of effectiveness of the actuator and saturation effects, considered explicitly, without the requirement of any fault detection and diagnosis (FDD) unit. The proposed approach offers a direct singularity free control action in the presence of unknown dynamics, actuator faults, and saturation. Overall closed-loop stability is guaranteed in finite-time using Lyapunov stability theory and update laws for minimum parameters of FCRNN and fault compensator are derived using the same. Extensive simulations are presented for the trajectory tracking tasks using the proposed method and compared with the existing piece-wise fast terminal sliding mode controller (PFTSMC) and Radial basis function network (RBFN) based fault compensation approach. The proposed method is also validated in the Gazebo simulator via Pixhawk autopilot to demonstrate the feasibility in real-time. Note to Practitioners - This research is motivated by a cost-effective control scheme for quadrotors in cases of unknown/uncertain dynamics, external disturbances, actuator faults, and saturation. Precise quadrotor dynamics are difficult to obtain in real time. Also, there may be parametric uncertainties in quadrotor parameters like mass, inertia, and aerodynamic coefficients. External disturbances like wind gusts are always present in outdoor environments, and it may be the case that quadrotor motors lose their effectiveness due to defective motors or propeller damage while flying. To address these issues, first, it requires a precise control scheme to control the quadrotor while guaranteeing stability to ensure the safety of the quadrotor itself and people in the surrounding environment. Second, the approach should not be computationally heavy, which may sluggish the overall response of the quadrotor. Thus, we propose a control scheme to address these two issues simultaneously using a new fast terminal sliding mode control scheme augmented with FCRNN by updating minimum parameters instead of all the weight parameters of FCRNN. A compensator is introduced to mitigate the effect of unexpected actuator fault and saturation. The proposed approach can be helpful in various quadrotor applications, like pesticide spraying in agriculture, payload transportation, search and rescue, construction, etc., where unknown quadrotor dynamics and unknown payload situations occur.  ? 2004-2012 IEEE.","Yes"
"2-s2.0-85156100881","10.1016/j.ast.2023.108335","2023","Article","18","Aerospace Science and Technology","S1,S4","2","Maneuver, Uncertainty","19","A joint guidance and control framework for autonomous obstacle avoidance in quadrotor formations under model uncertainty","This paper presents a novel joint guidance and control framework for autonomous obstacle avoidance and swift maneuvering of quadrotor formations under model uncertainty. In this framework, the quadrotor formation uses a primary-secondary mode, where only the primary aircraft performs online planning of obstacle avoidance trajectory to form a safe flight corridor; the secondary aircraft follows the primary aircraft for safe flight through control algorithms. Firstly, based on a known and certain 3-DOF dynamics model, a successive convexification online guidance algorithm is proposed to compute a feasible and safe flight corridor through the nonconvex flight space. The planned trajectory contains velocity and attitude angle reference commands with temporal information, which can be used for the design of control algorithms for the 6-DOF dynamics mode. Subsequently, a global controller based on robust adaptive control of the RBF neural network is proposed for compensating external disturbances and model uncertainties. Finally, simulation experiments verify the effectiveness and superiority of this guidance and control framework for quadrotor formation autonomous obstacle avoidance applications under model uncertainty. This paper provides open-source ANSI-C code, which can be deployed directly to the embedded computer to carry out experimental verification. The code link is https://github.com/mazhenwei160/Uav-formation-obstacle-avoidance.git. ? 2023 Elsevier Masson SAS","Yes"
"2-s2.0-85133803702","10.3390/rs14143276","2022","Article","15","Remote Sensing","S1,S4","2","Maneuver, Uncertainty","19","Deep-Learning-Based Multiple Model Tracking Method for Targets with Complex Maneuvering Motion","The effective detection of unmanned aerial vehicle (UAV) targets is of great significance to guarantee national military security and social stability. In recent years, with the development of communication and control technology, the movement of UAVs has become increasingly flexible and complex, presenting diverse trajectory forms and different motion models in different phases. The Gaussian mixture probability hypothesis density filter incorporating the linear Gaussian jump Markov system approach (LGJMS-GMPHD) provides an efficient method for tracking multiple maneuvering targets, as applied to the switching of motions between a set of models in a Markovian chain. However, in practice, the motion model parameters of targets are generally unknown and the model switching is uncertain. When the preset filtering model parameters are mismatched, the tracking performance is dramatically degraded. In this paper, within the framework of the LGJMS-GMPHD filter, a deep-learning-based multiple model tracking method is proposed. First, an adaptive turn rate estimation network is designed to solve the filtering model mismatch caused by unknown turn rate parameters in coordinate turn models. Second, a filter state modification network is designed to solve the large tracking errors in the maneuvering phase caused by uncertain motion model switching. Finally, based on simulations of multiple maneuvering targets in cluttered environments and experimental field data verification, it can be concluded that the proposed method has strong adaptability to multiple maneuvering forms and can effectively improve the tracking performance of targets with complex maneuvering motion. ? 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Yes"
"2-s2.0-85160509402","10.1109/AERO55745.2023.10115613","2023","Conference paper","13","IEEE Aerospace Conference Proceedings","S1,S4","2","Maneuver, Uncertainty","19","Statistical Conformance Checking of Aviation Cyber-Physical Systems by Mining Physics Guided Models","Aviation systems such as aircrafts and Unmanned aerial vehicles (UAV) are cyber-physical systems (CPS) with several interacting automated control modules. The operational behavior of such CPS may change during deployment due to several reasons including: a) control system software bugs, b) environmental changes such as weather, and c) mechanical faults such as faulty sensor. Changes in operational characteristics can be exceptionally dangerous in civilian applications or when UAVs are used for military purposes or targeted precision tasks such as maneuvering in hostile environment. Moreover, safety violations are often not caused by a single fault but rather by a combination of faults that can potentially be avoided if the individual faults were pro-actively identified and mitigated. In this paper, we advocate for continuous verification of the operational characteristics to check its compliance with the specification. This compliance can be specified using Signal Temporal Logic (STL) on the output trajectories. However, unknown errors can cause operational changes that have little effect on the output characteristics but may manifest with fatal consequences when combined with other supervisory control systems. As such the problem of identifying such underlying changes is a difficult task specially when their impact on output characteristics is minimal. We propose a novel framework for analyzing the stochastic conformance of operational output characteristics of safety-critical CPS in terms of the coefficients of a physics guided surrogate model (PGSM) of the aerodynamics of the aviation CPS. We propose model guided hybrid recurrent neural networks (MGH-RNN) to mine a PGSM which is used to check the model conformance using STL on the model coefficients. The PGSM can also identify operational changes due to unknown errors. Additionally, we also derive a tractable input space partitioning mechanism based on PGSM characteristics to perform stochastic conformance checking by utilizing the conformal inference technique. We apply our technique to identify errors in pitch control system of aircrafts or UAVs. We have considered mechanical errors such as faulty Angle of Attack sensors which can affect the operation of supervisory pitch correction systems such as MCAS. This error identification can lead to detection of faults in advance and prevention of activation of controllers that rely on faulty sensors. ? 2023 IEEE.","Yes"
"2-s2.0-85214938871","10.1109/CCE62852.2024.10770871","2024","Conference paper","2","2024 21st International Conference on Electrical Engineering, Computing Science and Automatic Control, CCE 2024","S1,S2,S5","3","Unity/VR, Benchmark/Validation, Telemetry/RealFlight","19","Physics-Informed Machine Learning for UAV Control","The integration of Dynamic Mode Decomposition (DMD) control with Physics-Informed Neural Networks (PINNs) offers a novel approach to enhancing UAV quadcopter control systems. This method leverages DMD techniques and PINNs to solve the Riccati equation, which is essential for precise UAV position estimation. By framing the UAV control problem within physics-based constraints, the approach ensures that the learned models adhere to the physical laws governing UAV dynamics. Utilizing a comprehensive dataset-including UAV flight parameters such as position, velocity, and control inputs-DMD extracts fundamental dynamic modes from the data, providing a reduced-order representation that captures the dominant UAV dynamics. This reduced representation is then incorporated into the PINN framework to accurately solve the Riccati equation. The combination of DMD and PINNs results in a robust control strategy that significantly improves position estimation accuracy and optimizes control performance. Real-Time validation of this method was conducted in a Unity-based physics simulation environment, incorporating factors like gravity and perturbation noise. The results demonstrate substantial improvements in estimation accuracy and control stability compared to traditional methods. ? 2024 IEEE.","Yes"
